,count,unique,top,freq,mean,std,min,25%,50%,75%,max
Sl. No,541.0,,,,271.0,156.31751874523428,1.0,136.0,271.0,406.0,541.0
Patient File No.,541.0,,,,271.0,156.31751874523428,1.0,136.0,271.0,406.0,541.0
PCOS (Y/N),541.0,,,,0.32717190388170053,0.4696148402383716,0.0,0.0,0.0,1.0,1.0
 Age (yrs),541.0,,,,31.430683918669132,5.41100569945525,20.0,28.0,31.0,35.0,48.0
Weight (Kg),541.0,,,,59.63715341959335,11.028287132059994,31.0,52.0,59.0,65.0,108.0
Height(Cm) ,541.0,,,,156.48483548983364,6.033544539943233,137.0,152.0,156.0,160.0,180.0
BMI,541.0,,,,24.31128466696858,4.056399086100066,12.41788175,21.64127424,24.23822715,26.63495838,38.9
Blood Group,541.0,,,,13.802218114602589,1.8408116860366286,11.0,13.0,14.0,15.0,18.0
Pulse rate(bpm) ,541.0,,,,73.24768946395564,4.430285002919404,13.0,72.0,72.0,74.0,82.0
RR (breaths/min),541.0,,,,19.243992606284657,1.688629170072371,16.0,18.0,18.0,20.0,28.0
Hb(g/dl),541.0,,,,11.16003696857671,0.8669044537687668,8.5,10.5,11.0,11.7,14.8
Cycle(R/I),541.0,,,,2.56007393715342,0.9019501475121859,2.0,2.0,2.0,4.0,5.0
Cycle length(days),541.0,,,,4.9408502772643255,1.4920202615497227,0.0,4.0,5.0,5.0,12.0
Marraige Status (Yrs),540.0,,,,7.6809259259259255,4.803835344854868,0.0,4.0,7.0,10.0,30.0
Pregnant(Y/N),541.0,,,,0.3807763401109057,0.4860271177031966,0.0,0.0,0.0,1.0,1.0
No. of aborptions,541.0,,,,0.28835489833641403,0.692575221024325,0.0,0.0,0.0,0.0,5.0
  I   beta-HCG(mIU/mL),541.0,,,,664.5492347504621,3348.920576481758,1.3,1.99,20.0,297.21,32460.97
II    beta-HCG(mIU/mL),541.0,203.0,1.99,307.0,,,,,,,
FSH(mIU/mL),541.0,,,,14.601831792975974,217.02208070444024,0.21,3.3,4.85,6.41,5052.0
LH(mIU/mL),541.0,,,,6.469918669131238,86.6732551884163,0.02,1.02,2.3,3.68,2018.0
FSH/LH,541.0,,,,6.904830820488356,60.69182231926178,0.002145688801,1.416243655,2.169230769,3.959183673,1372.826087
Hip(inch),541.0,,,,37.99260628465804,3.9679200692784407,26.0,36.0,38.0,40.0,48.0
Waist(inch),541.0,,,,33.84103512014787,3.5968939842521754,24.0,32.0,34.0,36.0,47.0
Waist:Hip Ratio,541.0,,,,0.8918945873369686,0.04632567395172288,0.7555555556,0.8571428571,0.8947368421,0.9285714286,0.9791666667
TSH (mIU/L),541.0,,,,2.9812809611829945,3.755531765694019,0.04,1.48,2.26,3.57,65.0
AMH(ng/mL),541.0,301.0,1.0,9.0,,,,,,,
PRL(ng/mL),541.0,,,,24.321497227356748,14.97039075711872,0.4,14.52,21.92,29.89,128.24
Vit D3 (ng/mL),541.0,,,,49.915874306839186,346.2065985458556,0.0,20.8,25.9,34.5,6014.66
PRG(ng/mL),541.0,,,,0.6109445471349352,3.8088530650306525,0.047,0.25,0.32,0.45,85.0
RBS(mg/dl),541.0,,,,99.8358595194085,18.55929757637334,60.0,92.0,100.0,107.0,350.0
Weight gain(Y/N),541.0,,,,0.37707948243992606,0.4851036269252457,0.0,0.0,0.0,1.0,1.0
hair growth(Y/N),541.0,,,,0.2735674676524954,0.4462021107978156,0.0,0.0,0.0,1.0,1.0
Skin darkening (Y/N),541.0,,,,0.3068391866913124,0.4616088913091161,0.0,0.0,0.0,1.0,1.0
Hair loss(Y/N),541.0,,,,0.45286506469500926,0.4982340279161598,0.0,0.0,0.0,1.0,1.0
Pimples(Y/N),541.0,,,,0.4898336414048059,0.5003592876304122,0.0,0.0,0.0,1.0,1.0
Fast food (Y/N),540.0,,,,0.5148148148148148,0.5002438764824821,0.0,0.0,1.0,1.0,1.0
Reg.Exercise(Y/N),541.0,,,,0.2476894639556377,0.4320699785355916,0.0,0.0,0.0,0.0,1.0
BP _Systolic (mmHg),541.0,,,,114.66173752310536,7.384555701012052,12.0,110.0,110.0,120.0,140.0
BP _Diastolic (mmHg),541.0,,,,76.9279112754159,5.574111545173728,8.0,70.0,80.0,80.0,100.0
Follicle No. (L),541.0,,,,6.129390018484289,4.229294376551461,0.0,3.0,5.0,9.0,22.0
Follicle No. (R),541.0,,,,6.641404805914973,4.436889244844173,0.0,3.0,6.0,10.0,20.0
Avg. F size (L) (mm),541.0,,,,15.0181146025878,3.566838645099499,0.0,13.0,15.0,18.0,24.0
Avg. F size (R) (mm),541.0,,,,15.45170055452865,3.318848203677783,0.0,13.0,16.0,18.0,24.0
Endometrium (mm),541.0,,,,8.475914972273566,2.165381273453606,0.0,7.0,8.5,9.8,18.0
Unnamed: 44,2,2,.,1,,,,,,,
